# Region type : patch node2U_4_Inlet_0
#   Faces  : 148
#   Area   : 1.734596e-02
#        Time	areaAverage(T)
     0.999427	2.971500e+02
      2.00049	2.971500e+02
      3.00031	2.971495e+02
      3.99974	2.971494e+02
     4.999852	2.971498e+02
     6.001051	2.971499e+02
     7.000531	2.971500e+02
     8.000508	2.971500e+02
     9.000207	2.971500e+02
   10.0013794	2.971499e+02
   11.0007485	2.971496e+02
   12.0009597	2.971494e+02
    13.001277	2.971491e+02
   14.0004317	2.971484e+02
 15.000901346	2.971477e+02
 16.001107103	2.971463e+02
 17.000922171	2.971424e+02
 18.001371538	2.971390e+02
 19.000102731	2.971414e+02
19.99989026148	2.971470e+02
21.00034937314	2.971531e+02
21.99983157686	2.971591e+02
23.00122911707	2.971651e+02
24.00091286407	2.971714e+02
25.0014481448061	2.971786e+02
25.9997089351518	2.971863e+02
27.0019611529581	2.971942e+02
27.9992560508285	2.972020e+02
29.0002067000521	2.972089e+02
30.001115854941087	2.972142e+02
31.001388464779989	2.972181e+02
32.000730012372813	2.972216e+02
32.999356489310571	2.972261e+02
34.000826001571795	2.972337e+02
34.9997674661593194	2.972465e+02
35.9997177574727516	2.972663e+02
37.0009562711424493	2.972931e+02
38.0004295729249861	2.973251e+02
39.0007433796670497	2.973601e+02
40.0015092071004048	2.973960e+02
40.9993430360585478	2.974301e+02
41.999976707407761	2.974600e+02
43.000137047967506	2.974839e+02
44.0000180955537274	2.975027e+02
45.0000719325705489	2.975178e+02
46.0007436235592806	2.975309e+02
46.9992924677363604	2.975430e+02
48.0017975705818145	2.975538e+02
49.0020087941105018	2.975627e+02
50.0001541690290168	2.975692e+02
50.9994115854687848	2.975732e+02
51.9997966185503131	2.975749e+02
53.0013028439710965	2.975747e+02
54.0008589936701	2.975729e+02
55.001479447827478	2.975707e+02
56.0000219360241616	2.975698e+02
56.9994357372792848	2.975719e+02
57.9996351360819844	2.975779e+02
59.0005311279488467	2.975879e+02
60.0020680322019331	2.976017e+02
61.001180899680314	2.976188e+02
62.0009804808799743	2.976384e+02
63.0015462758453637	2.976599e+02
63.99974179524812	2.976821e+02
65.0016009001074053	2.977044e+02
66.0007601653780256	2.977263e+02
67.0000828054686792	2.977481e+02
67.9993904729765717	2.977697e+02
69.0017235356203003	2.977911e+02
70.0009377157637687	2.978119e+02
71.0002352911425874	2.978318e+02
71.9997872778713486	2.978507e+02
72.9997326311521277	2.978686e+02
74.0001292327700639	2.978857e+02
75.0008246964364247	2.979022e+02
76.0015800095208363	2.979187e+02
77.0020693921646711	2.979353e+02
78.0018426038795383	2.979521e+02
79.0006723209762072	2.979692e+02
80.0017081314998251	2.979867e+02
81.0020358999019976	2.980042e+02
82.0018080561054745	2.980218e+02
83.0010087123466462	2.980393e+02
83.9995465240833425	2.980565e+02
85.0004902403786389	2.980734e+02
86.0005955476574258	2.980898e+02
86.9996768195966581	2.981055e+02
88.0006846028388878	2.981206e+02
89.0004719692935282	2.981346e+02
90.0019773122347715	2.981477e+02
90.9992809510003582	2.981601e+02
92.0015628120182498	2.981720e+02
92.9997983985029606	2.981836e+02
94.0002310198292577	2.981952e+02
94.9999423998426522	2.982071e+02
96.0021254260840067	2.982196e+02
97.000912615324367	2.982327e+02
97.9994227377964364	2.982464e+02
99.0007366540451983	2.982605e+02
100.001777850557531	2.982749e+02
100.999474552726198	2.982893e+02
101.999847483109477	2.983038e+02
102.999824886520344	2.983182e+02
103.999365121315847	2.983326e+02
105.001466452367538	2.983470e+02
105.9999708144111	2.983615e+02
107.000862792180541	2.983761e+02
108.001107172393702	2.983907e+02
109.000696640159475	2.984054e+02
109.999726477358081	2.984202e+02
111.00131269036028	2.984351e+02
111.999552540587274	2.984501e+02
